experiment,category,query_count,top1_primary_accuracy,hit_rate_at_3,hit_rate_at_5,mrr
keyword_no_expansion,ambiguous,6,0.8333333333333334,1.0,1.0,1.0
keyword_no_expansion,clinical_natural_language,8,1.0,1.0,1.0,1.0
keyword_no_expansion,paraphrase,8,0.375,0.75,0.75,0.75
keyword_no_expansion,physical_identifier,6,0.6666666666666666,1.0,1.0,1.0
keyword_no_expansion,relation,9,0.0,0.2222222222222222,0.2222222222222222,0.05555555555555555
keyword_no_expansion,schema_semantic,8,0.625,0.75,0.75,0.6666666666666666
semantic_no_expansion,ambiguous,6,0.3333333333333333,1.0,1.0,0.9166666666666666
semantic_no_expansion,clinical_natural_language,8,0.5,1.0,1.0,0.8095238095238095
semantic_no_expansion,paraphrase,8,0.625,1.0,1.0,0.875
semantic_no_expansion,physical_identifier,6,0.6666666666666666,0.8333333333333334,1.0,0.7833333333333333
semantic_no_expansion,relation,9,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.3900793650793651
semantic_no_expansion,schema_semantic,8,0.625,0.875,0.875,0.7291666666666666
semantic_expansion,ambiguous,6,0.3333333333333333,1.0,1.0,0.9166666666666666
semantic_expansion,clinical_natural_language,8,0.875,1.0,1.0,1.0
semantic_expansion,paraphrase,8,0.875,1.0,1.0,1.0
semantic_expansion,physical_identifier,6,0.6666666666666666,0.8333333333333334,1.0,0.7833333333333333
semantic_expansion,relation,9,0.4444444444444444,0.7777777777777778,0.7777777777777778,0.4853174603174603
semantic_expansion,schema_semantic,8,0.625,0.875,0.875,0.7291666666666666
hybrid_no_expansion,ambiguous,6,1.0,1.0,1.0,1.0
hybrid_no_expansion,clinical_natural_language,8,1.0,1.0,1.0,1.0
hybrid_no_expansion,paraphrase,8,0.75,1.0,1.0,0.9375
hybrid_no_expansion,physical_identifier,6,0.6666666666666666,1.0,1.0,0.8055555555555555
hybrid_no_expansion,relation,9,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.2167989417989418
hybrid_no_expansion,schema_semantic,8,0.875,1.0,1.0,0.9375
hybrid_expansion,ambiguous,6,1.0,1.0,1.0,1.0
hybrid_expansion,clinical_natural_language,8,1.0,1.0,1.0,1.0
hybrid_expansion,paraphrase,8,1.0,1.0,1.0,1.0
hybrid_expansion,physical_identifier,6,0.6666666666666666,1.0,1.0,0.8055555555555555
hybrid_expansion,relation,9,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.3287037037037037
hybrid_expansion,schema_semantic,8,0.875,1.0,1.0,0.9375
hybrid_expansion_relation,ambiguous,6,1.0,1.0,1.0,1.0
hybrid_expansion_relation,clinical_natural_language,8,1.0,1.0,1.0,1.0
hybrid_expansion_relation,paraphrase,8,1.0,1.0,1.0,1.0
hybrid_expansion_relation,physical_identifier,6,0.6666666666666666,1.0,1.0,0.8055555555555555
hybrid_expansion_relation,relation,9,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.3287037037037037
hybrid_expansion_relation,schema_semantic,8,0.875,1.0,1.0,0.9375
